run_id,manifest_path,model,task_id,family,status,official_process,official_result,official_comment,metric_source,grade_result_path,query_path
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,NeuroKit_03,NeuroKit,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/NeuroKit_03/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,PDFPlumber_01,PDFPlumber,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/PDFPlumber_01/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,PDFPlumber_02,PDFPlumber,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/PDFPlumber_02/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,PDFPlumber_03,PDFPlumber,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/PDFPlumber_03/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,PyPDF2_01,PyPDF2,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/PyPDF2_01/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,PyPDF2_02,PyPDF2,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/PyPDF2_02/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,PyPDF2_03,PyPDF2,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/PyPDF2_03/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,Scrapy_01,Scrapy,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Scrapy_01/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,Scrapy_02,Scrapy,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Scrapy_02/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,Scrapy_03,Scrapy,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/Scrapy_03/query.json
20260401-open8gpu-fullbench-v4-gpu00,/mnt/bn/xsc-f1526e9f/yongkang/workspace/_codex/experiments/agent_law_gittaskbench_runs/20260401-open8gpu-fullbench-v4-gpu00/run_manifest.json,Qwen__Qwen2.5-7B-Instruct,SpeechBrain_01,SpeechBrain,failed_before_grading,False,False,,implicit_failed_before_grading,,/mnt/bn/xsc-f1526e9f/yongkang/workspace/external/agent_laws/GitTaskBench/queries/SpeechBrain_01/query.json
